sec"   "mA"   "mV
1590.866    0.581892490386963    574.673950195313
1590.966    0.60363095998764    575.5849609375
1591.066    0.593736052513123    576.381713867188
1591.166    0.613525927066803    577.444763183594
1591.266    0.623395562171936    578.014221191406
1591.366    0.641186237335205    579.152587890625
1591.467    0.657002985477448    579.608276367188
1591.567    0.664923965930939    580.747131347656
1591.667    0.660976111888885    581.392333984375
1591.767    0.680740714073181    582.569091796875
1591.867    0.680740714073181    583.062255859375
1591.967    0.670845806598663    584.238952636719
1592.068    0.700505316257477    584.694702148438
1592.168    0.700505316257477    585.947204589844
1592.268    0.710400283336639    586.592407226563
1592.368    0.720269918441772    587.579223632813
1592.468    0.734112679958344    588.262329101563
1592.568    0.740059792995453    589.211669921875
1592.669    0.742033720016479    589.970581054688
1592.769    0.757850468158722    590.91943359375
1592.869    0.769719362258911    591.868286132813
1592.969    0.771693289279938    592.779296875
1593.069    0.797379612922668    593.424499511719
1593.169    0.785536050796509    594.183898925781
1593.27    0.785536050796509    594.904907226563
1593.37    0.803326725959778    596.005859375
1593.47    0.801352798938751    596.613159179688
1593.57    0.807274580001831    597.56201171875
1593.67    0.823091328144073    598.586669921875
1593.77    0.8250652551651    599.497680664063
1593.871    0.844829857349396    600.181274414063
1593.971    0.838908076286316    601.092224121094
1594.071    0.834960222244263    601.699523925781
1594.171    0.854724764823914    602.876281738281
1594.271    0.854724764823914    603.483581542969
1594.371    0.858672618865967    604.50830078125
1594.472    0.858672618865967    605.229248046875
1594.572    0.870541512966156    606.140258789063
1594.672    0.868567585945129    606.785461425781
1594.772    0.890306115150452    607.734802246094
1594.872    0.882410407066345    608.683715820313
1594.972    0.888332188129425    609.442626953125
1595.073    0.908096790313721    610.277770996094
1595.173    0.896253228187561    611.264526367188
1595.273    0.912069916725159    611.833984375
1595.373    0.916017770767212    612.934936523438
1595.473    0.914043843746185    613.807983398438
1595.573    0.919965624809265    614.56689453125
1595.674    0.929860591888428    615.402099609375
1595.774    0.929860591888428    616.199340820313
1595.874    0.937756299972534    617.186096191406
1595.974    0.947651267051697    617.98291015625
1596.074    0.961494088172913    618.780212402344
1596.175    0.95159912109375    619.653259277344
1596.275    0.959520161151886    620.677978515625
1596.375    0.98323255777359    621.361572265625
1596.475    0.967415869235992    622.272521972656
1596.575    0.959520161151886    623.0693359375
1596.675    0.973337650299072    623.866577148438
1596.776    0.971363723278046    624.777587890625
1596.876    0.975336849689484    625.878051757813
1596.976    0.987180411815643    626.561645507813
1597.076    0.987180411815643    627.396301269531
1597.176    0.991153597831726    628.155700683594
1597.276    1.0010232925415    629.294555664063
1597.377    1.00697028636932    629.674011230469
1597.477    1.00497114658356    630.736572265625
1597.577    1.00697028636932    631.458068847656
1597.677    1.01091814041138    632.596923828125
1597.777    1.01289212703705    633.393676757813
1597.877    1.01881384849548    634.115173339844
1597.978    1.01881384849548    634.911987304688
1598.078    1.03463065624237    635.975036621094
1598.178    1.01881384849548    636.733947753906
1598.278    1.03860378265381    637.606994628906
1598.378    1.02673494815826    638.024353027344
1598.478    1.05242133140564    639.239013671875
1598.579    1.04057776927948    639.998413085938
1598.679    1.0544205904007    641.060974121094
1598.779    1.0623162984848    641.8203125
1598.879    1.06429016590118    642.845031738281
1598.979    1.06823801994324    643.338623046875
1599.079    1.07023727893829    644.439575195313
1599.179    1.07221114635468    645.084777832031
1599.28    1.08605396747589    646.109436035156
1599.38    1.08802795410156    646.868835449219
1599.48    1.08802795410156    647.931396484375
1599.58    1.09987151622772    648.310852050781
1599.68    1.10187077522278    649.677551269531
1599.78    1.10581862926483    650.360656738281
1599.881    1.11371433734894    651.309509277344
1599.981    1.10779249668121    651.651123046875
1600.081    1.12163531780243    653.017822265625
1600.181    1.11966145038605    653.625122070313
1600.281    1.12953102588654    654.611877441406
1600.381    1.13745200634003    655.4091796875
1600.482    1.14139986038208    656.205993652344
1600.582    1.13745200634003    657.003234863281
1600.682    1.14534771442413    658.027893066406
1600.782    1.1631383895874    658.787292480469
1600.882    1.16908550262451    659.660400390625
1600.982    1.16711163520813    660.343505859375
1601.083    1.1849023103714    661.55810546875
1601.183    1.1849023103714    662.2412109375
