"sec"   "mA"   "mV"
0.154   3.96272540092468   766.092346191406
0.253   2.93463778495789   765.788696289063
0.351   2.47000551223755   765.826599121094
0.449   2.20704293251038   765.637084960938
0.548   2.0607442855835   765.902893066406
0.646   1.9520012140274   765.788696289063
0.744   1.84525716304779   765.864990234375
0.843   1.7602264881134   765.637084960938
0.941   1.69695949554443   765.978698730469
1.039   1.63764047622681   765.712890625
1.138   1.59416341781616   765.978698730469
1.236   1.55066108703613   765.637084960938
1.334   1.50321090221405   765.826599121094
1.433   1.45970845222473   765.561340332031
1.531   1.4379700422287   765.902893066406
1.629   1.4003894329071   765.674987792969
1.728   1.37075519561768   765.826599121094
1.826   1.34899139404297   765.826599121094
1.925   1.32130575180054   765.864990234375
2.023   1.29561936855316   765.826599121094
2.121   1.27385556697845   766.130249023438
2.22   1.2699077129364   765.637084960938
2.318   1.2461953163147   765.902893066406
2.416   1.22640538215637   765.902893066406
2.515   1.21456182003021   765.978698730469
2.613   1.18885016441345   765.788696289063
2.711   1.18687617778778   765.902893066406
2.81   1.1631383895874   765.674987792969
2.908   1.14932096004486   766.054443359375
3.006   1.12953102588654   765.826599121094
3.105   1.12953102588654   766.054443359375
3.203   1.10779249668121   765.788696289063
3.301   1.11174035072327   765.902893066406
3.4   1.09000182151794   765.788696289063
3.498   1.08405470848083   765.902893066406
3.596   1.07418513298035   765.788696289063
3.695   1.05836844444275   765.826599121094
3.793   1.04649949073792   765.485046386719
3.891   1.04847347736359   765.826599121094
3.99   1.03068280220032   765.712890625
4.088   1.02673494815826   765.940795898438
4.187   1.00697028636932   765.485046386719
4.285   1.008944272995   766.054443359375
4.383   0.969389796257019   765.712890625
4.482   0.991153597831726   765.864990234375
4.58   0.985206484794617   765.712890625
4.678   0.985206484794617   766.130249023438
4.777   0.967415869235992   765.712890625
4.875   0.971363723278046   766.092346191406
4.973   0.963468015193939   765.826599121094
5.072   0.961494088172913   766.20654296875
5.17   0.963468015193939   765.788696289063
5.268   0.959520161151886   765.978698730469
5.367   0.939730226993561   765.52294921875
5.465   0.943703413009644   766.054443359375
5.563   0.927886664867401   765.712890625
5.662   0.921939551830292   765.902893066406
5.76   0.914043843746185   765.826599121094
5.858   0.910070717334747   765.940795898438
5.957   0.896253228187561   765.561340332031
6.055   0.906122863292694   765.978698730469
6.154   0.892280042171478   765.712890625
6.252   0.890306115150452   765.978698730469
6.35   0.898227155208588   765.674987792969
6.449   0.886358261108398   766.016540527344
6.547   0.886358261108398   765.52294921875
6.645   0.872515439987183   765.940795898438
6.744   0.878437221050262   765.902893066406
6.842   0.878437221050262   765.864990234375
6.94   0.874489367008209   765.674987792969
7.039   0.880436480045319   765.864990234375
7.137   0.858672618865967   765.637084960938
7.235   0.876463294029236   766.092346191406
7.334   0.844829857349396   765.788696289063
7.432   0.860646545886993   765.826599121094
7.53   0.842855930328369   765.712890625
7.629   0.85077691078186   765.864990234375
7.727   0.834960222244263   765.788696289063
7.826   0.834960222244263   765.940795898438
7.924   0.836934149265289   765.826599121094
8.022   0.844829857349396   765.902893066406
8.121   0.838908076286316   765.940795898438
8.219   0.829013109207153   765.978698730469
8.317   0.821117401123047   765.978698730469
8.416   0.829013109207153   765.788696289063
8.514   0.811222434043884   765.750793457031
8.612   0.815170288085938   765.864990234375
8.711   0.815170288085938   765.712890625
8.809   0.795405685901642   765.712890625
8.907   0.795405685901642   765.864990234375
9.006   0.795405685901642   765.826599121094
9.104   0.805300652980804   765.750793457031
9.202   0.807274580001831   765.674987792969
9.301   0.801352798938751   765.826599121094
9.399   0.791457831859589   765.712890625
9.497   0.793431758880615   765.788696289063
9.596   0.797379612922668   765.902893066406
9.694   0.777615070343018   765.940795898438
9.792   0.789483904838562   765.826599121094
9.891   0.791457831859589   765.788696289063
9.989   0.785536050796509   765.788696289063
10.088   0.781562924385071   765.788696289063
10.186   0.777615070343018   765.637084960938
10.284   0.759824395179749   765.674987792969
10.383   0.773667216300964   765.712890625
10.481   0.777615070343018   766.054443359375
10.579   0.751903355121613   765.864990234375
10.678   0.757850468158722   766.016540527344
10.776   0.773667216300964   765.826599121094
10.874   0.759824395179749   765.788696289063
10.973   0.763772249221802   765.788696289063
11.071   0.761798322200775   765.826599121094
11.169   0.767720103263855   765.637084960938
11.268   0.751903355121613   765.940795898438
11.366   0.747955501079559   765.826599121094
11.464   0.749929428100586   765.978698730469
11.563   0.732138752937317   765.940795898438
11.661   0.742033720016479   765.978698730469
11.759   0.745981574058533   765.940795898438
11.858   0.749929428100586   765.788696289063
11.956   0.736086666584015   765.978698730469
12.054   0.736086666584015   765.674987792969
12.153   0.745981574058533   765.674987792969
12.251   0.73016482591629   765.826599121094
12.349   0.736086666584015   765.637084960938
12.448   0.73016482591629   765.788696289063
12.546   0.745981574058533   765.788696289063
12.644   0.73016482591629   765.902893066406
12.743   0.728190898895264   766.054443359375
12.841   0.714348137378693   765.712890625
12.94   0.712374210357666   765.561340332031
13.038   0.718295991420746   765.750793457031
13.136   0.714348137378693   765.712890625
13.235   0.720269918441772   765.826599121094
13.333   0.714348137378693   765.788696289063
13.431   0.714348137378693   765.788696289063
13.53   0.696557462215424   765.750793457031
13.628   0.708426356315613   765.978698730469
13.726   0.720269918441772   765.788696289063
13.825   0.714348137378693   765.902893066406
13.923   0.706452429294586   765.788696289063
14.021   0.706452429294586   765.864990234375
14.12   0.694583535194397   765.52294921875
14.218   0.69260960817337   765.864990234375
14.316   0.69260960817337   765.712890625
14.415   0.69853138923645   765.902893066406
14.513   0.69260960817337   765.902893066406
