"sec"   "mA"   "mV"
0.066   -617.708679199219   -661.996887207031
0.076   -617.9609375   -673.691345214844
0.086   -617.72802734375   -679.994140625
0.096   -617.572814941406   -682.044067382813
0.106   -617.650451660156   -680.259521484375
0.116   -617.708679199219   -660.858215332031
0.126   -617.631042480469   -612.904479980469
0.136   -617.631042480469   -557.470764160156
0.146   -617.669799804688   -519.958068847656
0.157   -617.650451660156   -496.683929443359
0.167   -617.611694335938   -479.180450439453
0.177   -617.631042480469   -464.296966552734
0.187   -617.689331054688   -450.742156982422
0.197   -617.650451660156   -439.124053955078
0.207   -617.669799804688   -428.189239501953
0.217   -617.650451660156   -410.989990234375
0.227   -617.650451660156   -403.585906982422
0.237   -617.669799804688   -397.548919677734
0.247   -617.650451660156   -392.461547851563
0.257   -617.689331054688   -387.487426757813
0.267   -617.669799804688   -383.1591796875
0.277   -617.650451660156   -379.210510253906
0.288   -617.669799804688   -375.641387939453
0.298   -617.708679199219   -372.034362792969
0.308   -617.708679199219   -368.883178710938
0.318   -617.708679199219   -366.111572265625
0.328   -617.72802734375   -363.567413330078
0.338   -617.766906738281   -360.871612548828
0.348   -617.747436523438   -358.631683349609
0.358   -617.689331054688   -356.353820800781
0.368   -617.650451660156   -354.189208984375
0.378   -617.708679199219   -352.177215576172
0.388   -617.747436523438   -348.494384765625
0.398   -617.708679199219   -346.481872558594
0.408   -617.708679199219   -344.621490478516
0.419   -617.689331054688   -342.836944580078
0.429   -617.766906738281   -341.128204345703
0.439   -617.747436523438   -339.154083251953
0.449   -617.689331054688   -337.445343017578
0.459   -617.708679199219   -335.509155273438
0.469   -617.689331054688   -333.800415039063
0.479   -617.689331054688   -332.092163085938
0.489   -617.72802734375   -330.459228515625
0.499   -617.708679199219   -328.750946044922
0.509   -617.747436523438   -327.345947265625
0.519   -617.8056640625   -325.523498535156
0.529   -617.708679199219   -323.663116455078
0.539   -617.689331054688   -321.726928710938
0.549   -617.747436523438   -318.499450683594
0.56   -617.747436523438   -317.018615722656
0.57   -617.72802734375   -315.917358398438
0.58   -617.708679199219   -314.322845458984
0.59   -617.689331054688   -312.500366210938
0.6   -617.689331054688   -310.677886962891
0.61   -617.689331054688   -309.273376464844
0.62   -617.689331054688   -307.754669189453
0.63   -617.689331054688   -306.007995605469
0.64   -617.689331054688   -304.071319580078
0.65   -617.708679199219   -302.438873291016
0.66   -617.786315917969   -300.882232666016
0.67   -617.786315917969   -299.591461181641
0.68   -617.786315917969   -297.768981933594
0.69   -617.766906738281   -296.212341308594
0.701   -617.747436523438   -294.427795410156
0.711   -617.747436523438   -292.832763671875
0.721   -617.708679199219   -290.326995849609
0.731   -617.708679199219   -288.580352783203
0.741   -617.689331054688   -286.719970703125
0.751   -617.708679199219   -284.745849609375
0.761   -617.708679199219   -282.733367919922
0.771   -617.747436523438   -280.607147216797
0.781   -617.747436523438   -278.595153808594
0.791   -617.669799804688   -277.265960693359
0.801   -617.650451660156   -276.013092041016
0.811   -617.708679199219   -275.519317626953
0.821   -617.708679199219   -275.481414794922
0.832   -617.689331054688   -275.78515625
0.842   -617.708679199219   -276.126800537109
0.852   -617.650451660156   -276.582672119141
0.862   -617.708679199219   -276.582672119141
0.872   -617.708679199219   -277.000122070313
0.882   -617.650451660156   -277.683441162109
0.892   -617.650451660156   -277.645538330078
0.902   -617.631042480469   -277.911376953125
0.912   -617.611694335938   -277.987670898438
0.922   -617.650451660156   -278.025573730469
0.932   -617.650451660156   -277.949279785156
0.942   -617.592163085938   -277.949279785156
0.952   -617.572814941406   -277.987670898438
0.962   -617.611694335938   -278.0634765625
0.972   -617.631042480469   -278.177185058594
0.983   -617.689331054688   -278.215118408203
0.993   -617.669799804688   -278.177185058594
1.003   -617.631042480469   -277.911376953125
1.013   -617.631042480469   -278.139282226563
1.023   -617.650451660156   -277.949279785156
1.033   -617.650451660156   -277.987670898438
1.043   -617.650451660156   -277.987670898438
1.053   -617.650451660156   -277.418090820313
1.063   -617.669799804688   -277.569702148438
1.073   -617.650451660156   -277.607604980469
1.083   -617.592163085938   -277.531799316406
1.093   -617.592163085938   -277.303863525391
1.103   -617.611694335938   -277.228057861328
1.113   -617.592163085938   -277.190155029297
1.124   -617.592163085938   -277.190155029297
1.134   -617.631042480469   -277.190155029297
1.144   -617.631042480469   -277.000122070313
1.154   -617.650451660156   -277.075927734375
1.164   -617.650451660156   -277.228057861328
